u_id,r_id,time_taken,preferrence,rating
46,193,23.4,river,5
46,176,25.96,river,5
46,171,58.76,river,5
46,324,40.26,river,5
46,167,31.19,river,5
47,1022,48.46,park,3
47,984,21.32,park,2
47,743,31.98,river,5
47,609,28.41,river,5
47,870,34.28,park,1
47,1006,45.49,park,1
47,1321,42.56,park,1
47,1396,40.78,mountain,1
47,991,48.12,park,1
47,459,44.33,river,5
48,1317,57.75,park,1
48,1093,51.08,mountain,5
48,1060,32.92,river,5
48,910,20.5,river,5
48,1319,42.08,park,3
48,1363,48.47,river,5
48,1475,28.53,park,2
48,1038,35.96,river,5
48,1381,45.07,mountain,5
48,1334,25.88,river,5
49,1002,37.46,park,5
49,454,49.4,river,5
49,852,52.1,park,5
49,1316,42.12,park,5
49,1172,39.4,park,5
49,859,28.09,park,5
49,1140,51.9,park,5
49,747,52.56,river,5
49,846,28.62,park,5
49,736,23.42,river,5
50,755,56.05,river,5
50,1278,54.82,park,5
50,1161,26.66,park,5
50,480,42.52,river,5
50,477,26.38,river,5
50,1463,54.85,park,5
50,1396,59.71,mountain,3
50,841,50.9,park,5
50,837,33.72,park,5
50,1141,54.94,park,5
51,177,33.68,river,5
51,162,44.14,river,5
51,412,56.14,park,2
51,180,46.09,river,5
51,154,34.01,river,5
51,334,33.48,river,5
51,395,40.75,park,3
51,197,35.04,river,5
51,402,28.74,park,3
51,176,51.42,river,5
52,571,43.02,park,2
52,540,20.41,park,1
52,190,56.67,river,1
52,584,35.52,park,3
52,153,53.08,river,1
52,409,38.85,park,1
52,421,57.23,park,3
52,188,47.21,river,2
52,328,38.58,river,1
52,155,40.92,river,3
53,1427,36.22,mountain,5
53,1308,44.09,park,1
53,1391,41.05,mountain,5
53,970,53.74,mountain,5
53,1400,21.32,mountain,5
53,1356,52.06,river,1
53,1113,23.29,mountain,5
53,1333,37.64,river,1
53,1071,28.09,river,1
53,1273,43.28,mountain,5
54,910,29.05,river,5
54,1436,21.23,park,5
54,1045,54.12,river,5
54,1211,46.47,river,5
54,1074,39.62,river,5
54,1265,48.94,mountain,3
54,1065,27.86,river,5
54,909,30.55,river,5
54,1187,30.93,river,5
54,1213,37.63,river,5
55,419,47.91,park,1
55,163,59.31,river,5
55,151,40.13,river,5
55,690,44.2,park,2
55,341,58.88,mountain,3
55,550,51.3,park,2
55,693,56.11,park,1
55,323,57.28,river,5
55,680,22.17,park,2
55,536,40.7,park,1
56,151,26.16,river,5
56,313,58.37,river,5
56,400,51.57,park,2
56,195,31.05,river,5
56,570,35.06,park,2
56,540,40.04,park,1
56,162,33.37,river,5
56,155,56.18,river,5
56,377,59.9,mountain,2
56,716,38.2,park,1
57,620,54.93,river,5
57,761,35.26,river,5
57,997,45.8,park,5
57,744,58.92,river,5
57,788,23.72,mountain,2
57,476,40.29,river,5
57,615,48.5,river,5
57,1171,48.29,park,5
57,612,30.95,river,5
57,591,44.06,river,5
58,404,34.82,park,5
58,186,25.34,river,5
58,434,42.29,park,5
58,304,28.02,river,5
58,191,31.01,river,5
58,585,37.48,park,5
58,174,32.77,river,5
58,183,45.04,river,5
58,176,37.42,river,5
58,195,41.31,river,5
59,1119,30.15,mountain,1
59,1065,49.64,river,5
59,1352,41.14,river,5
59,895,34.2,river,5
59,920,46.9,river,5
59,1436,22.76,park,2
59,1053,49.84,river,5
59,1184,21.18,river,5
59,1220,21.44,river,5
59,1404,21.01,mountain,3
60,175,50.02,river,5
60,151,26.96,river,5
60,388,52.23,park,3
60,564,37.86,park,2
60,180,28.43,river,5
60,716,27.03,park,2
60,416,48.17,park,2
60,153,33.26,river,5
60,324,41.12,river,5
60,163,50.5,river,5
61,1454,28.18,park,3
61,1121,32.1,mountain,5
61,1195,54.09,river,2
61,974,22.66,mountain,5
61,1362,36.88,river,3
61,1179,27.37,river,2
61,1198,24.11,river,2
61,1473,42.12,park,3
61,1441,40.9,park,1
61,1403,33.74,mountain,5
62,540,46.75,park,3
62,178,43.38,river,5
62,334,44.95,river,5
62,194,46.71,river,5
62,197,54.7,river,5
62,412,25.97,park,3
62,182,55.34,river,5
62,312,53.51,river,5
62,388,24.0,park,1
62,569,37.25,park,2
63,190,41.53,river,2
63,308,52.04,river,3
63,175,42.37,river,3
63,416,20.83,park,5
63,325,55.64,river,2
63,320,37.1,river,3
63,693,41.73,park,5
63,690,27.39,park,5
63,400,23.71,park,5
63,565,55.0,park,5
64,878,37.5,river,2
64,1205,59.2,river,1
64,1083,26.52,mountain,5
64,1047,51.74,river,2
64,1064,47.87,river,2
64,1465,26.35,park,3
64,879,41.22,river,2
64,1441,27.11,park,1
64,1418,42.23,mountain,5
64,906,50.53,river,3
65,162,30.43,river,1
65,404,55.29,park,1
65,156,23.2,river,3
65,158,36.57,river,2
65,176,36.01,river,3
65,313,45.08,river,2
65,151,31.33,river,1
65,690,27.61,park,2
65,189,52.83,river,2
65,700,31.04,park,2
66,773,55.39,river,3
66,1123,53.86,mountain,3
66,1288,58.88,park,5
66,1162,26.59,park,5
66,1462,51.18,park,5
66,474,34.3,river,1
66,1014,54.94,park,5
66,961,46.51,mountain,2
66,490,56.0,mountain,3
66,1314,37.48,park,5
67,1398,56.72,mountain,1
67,1473,56.44,park,5
67,906,44.43,river,3
67,1434,34.21,park,5
67,915,33.41,river,1
67,1242,47.16,mountain,2
67,930,40.5,mountain,1
67,1400,23.51,mountain,1
67,1080,26.54,mountain,3
67,897,39.57,river,3
68,333,47.87,river,3
68,419,39.1,park,5
68,326,42.83,river,2
68,697,52.37,park,5
68,194,57.35,river,3
68,162,40.45,river,1
68,167,25.33,river,3
68,570,39.7,park,5
68,550,48.62,park,5
68,186,51.55,river,3
69,325,56.11,river,3
69,194,57.93,river,3
69,324,38.06,river,1
69,331,27.47,river,3
69,323,52.32,river,1
69,190,30.4,river,1
69,333,29.14,river,2
69,571,29.3,park,1
69,154,52.16,river,3
69,400,36.75,park,1
70,418,45.32,park,5
70,569,33.95,park,5
70,720,32.0,park,5
70,412,21.7,park,5
70,424,35.82,park,5
70,185,59.91,river,3
70,408,58.08,park,5
70,177,34.16,river,3
70,312,45.43,river,3
70,682,49.7,park,5
71,1326,38.88,park,5
71,1314,50.3,park,5
71,1152,21.93,park,5
71,983,39.97,park,5
71,1313,22.7,park,5
71,741,53.08,river,1
71,850,26.42,park,5
71,988,39.68,park,5
71,976,53.99,mountain,3
71,841,26.66,park,5
72,434,50.57,park,5
72,189,29.62,river,1
72,333,23.71,river,2
72,177,50.18,river,1
72,196,25.26,river,1
72,171,45.88,river,1
72,183,53.13,river,1
72,409,54.37,park,5
72,330,44.32,river,3
72,418,55.5,park,5
73,962,48.54,mountain,3
73,970,33.58,mountain,1
73,1236,52.57,mountain,1
73,1412,20.5,mountain,1
73,1261,41.49,mountain,1
73,1333,21.21,river,5
73,1197,31.12,river,5
73,1391,56.18,mountain,3
73,1465,46.46,park,5
73,937,59.12,mountain,2
74,452,32.69,river,3
74,481,37.95,river,3
74,478,54.82,river,1
74,916,22.12,river,2
74,799,58.93,mountain,5
74,631,55.41,mountain,5
74,1287,30.57,park,5
74,1027,20.82,park,5
74,866,48.56,park,5
74,1292,27.39,park,5
75,1077,26.66,river,2
75,1242,35.92,mountain,2
75,1185,24.19,river,1
75,1234,42.0,mountain,3
75,1072,36.14,river,3
75,1108,26.34,mountain,3
75,1084,56.6,mountain,3
75,950,26.54,mountain,3
75,1069,21.94,river,1
75,1208,48.17,river,3
76,885,53.36,river,5
76,925,25.73,river,5
76,1198,44.35,river,5
76,1038,41.65,river,5
76,1418,48.11,mountain,1
76,1467,28.49,park,3
76,1270,26.85,mountain,3
76,1032,22.83,river,5
76,1118,34.77,mountain,1
76,1200,58.67,river,5
77,536,37.87,park,5
77,693,57.98,park,5
77,154,53.47,river,5
77,326,52.07,river,5
77,335,52.43,river,5
77,400,59.8,park,5
77,163,49.9,river,5
77,173,29.39,river,5
77,161,44.44,river,5
77,328,20.44,river,5
78,1069,24.21,river,2
78,1392,35.24,mountain,5
78,933,33.49,mountain,5
78,909,56.13,river,1
78,1298,34.26,park,5
78,1197,57.79,river,3
78,1253,33.13,mountain,5
78,1121,20.96,mountain,5
78,1182,53.52,river,2
78,977,31.35,mountain,5
79,907,53.84,river,5
79,1459,23.08,park,2
79,1476,38.29,park,1
79,1183,59.39,river,5
79,1077,44.32,river,5
79,1046,41.0,river,5
79,1035,48.55,river,5
79,882,52.08,river,5
79,1116,53.88,mountain,5
79,1108,33.48,mountain,5
80,183,45.28,river,1
80,188,49.79,river,3
80,178,33.6,river,2
80,424,29.33,park,5
80,186,28.2,river,1
80,193,52.21,river,2
80,168,49.61,river,2
80,585,24.22,park,5
80,689,23.26,park,5
80,306,54.24,river,1
81,716,47.28,park,1
81,154,49.03,river,5
81,717,20.03,park,1
81,188,48.07,river,5
81,700,53.25,park,1
81,331,58.03,river,5
81,418,33.3,park,2
81,193,50.66,river,5
81,195,46.43,river,5
81,306,39.38,river,5
82,520,32.41,mountain,5
82,476,56.24,river,2
82,901,55.0,river,1
82,1016,32.08,park,5
82,874,51.02,park,5
82,741,49.62,river,3
82,860,24.51,park,5
82,867,47.22,park,5
82,595,51.6,river,3
82,501,50.03,mountain,5
83,974,41.68,mountain,3
83,1204,28.57,river,1
83,1251,20.94,mountain,2
83,1352,42.48,river,3
83,1214,39.41,river,1
83,1460,25.21,park,5
83,1084,44.57,mountain,1
83,1475,31.9,park,5
83,1415,57.32,mountain,3
83,1376,35.55,river,3
84,550,20.79,park,5
84,167,50.23,river,1
84,717,36.04,park,5
84,325,41.02,river,2
84,182,26.63,river,2
84,569,56.84,park,5
84,175,55.8,river,1
84,178,37.47,river,1
84,565,52.23,park,5
84,318,34.19,river,1
85,1220,39.18,river,5
85,1055,48.53,river,5
85,1334,55.31,river,5
85,1265,27.7,mountain,3
85,1448,59.24,park,5
85,1221,56.69,river,5
85,1283,26.94,park,5
85,1256,31.47,mountain,1
85,1032,57.0,river,5
85,1412,52.6,mountain,1
86,1015,56.51,park,5
86,761,32.1,river,5
86,983,31.39,park,5
86,1161,37.36,park,5
86,847,22.91,park,5
86,1279,58.11,park,5
86,873,51.15,park,5
86,602,41.79,river,5
86,1155,23.22,park,5
86,1446,56.31,park,5
87,755,29.13,river,3
87,1021,30.5,park,5
87,1011,23.32,park,5
87,1014,33.57,park,5
87,1143,53.94,park,5
87,854,51.99,park,5
87,371,44.21,mountain,5
87,826,24.26,mountain,5
87,996,43.9,park,5
87,1293,33.55,park,5
88,938,34.76,mountain,5
88,1195,53.16,river,1
88,1039,46.88,river,3
88,1281,38.41,park,5
88,1223,25.01,river,1
88,1063,27.72,river,3
88,1058,41.36,river,3
88,911,38.05,river,1
88,1121,27.04,mountain,5
88,1236,24.86,mountain,5
89,740,32.14,river,5
89,976,49.32,mountain,5
89,1002,54.76,park,3
89,881,58.2,river,5
89,1301,35.91,park,1
89,836,48.06,park,1
89,1320,39.06,park,2
89,1155,21.08,park,1
89,1271,54.59,mountain,5
89,996,55.84,park,1
90,1443,26.1,park,2
90,1255,53.27,mountain,5
90,481,44.6,river,5
90,458,23.66,river,5
90,611,36.16,river,5
90,997,33.6,park,2
90,588,29.46,river,5
90,438,23.06,river,5
90,448,58.47,river,5
90,382,30.86,mountain,5
91,1208,34.68,river,5
91,1037,32.42,river,5
91,1119,27.52,mountain,5
91,1412,20.03,mountain,5
91,1442,34.3,park,2
91,1224,27.78,river,5
91,1256,54.43,mountain,5
91,1374,29.41,river,5
91,1262,52.29,mountain,5
91,1350,53.74,river,5
92,1264,45.35,mountain,5
92,1212,28.17,river,3
92,1392,29.83,mountain,5
92,1204,52.07,river,3
92,1211,33.63,river,2
92,822,42.18,mountain,5
92,1228,43.33,mountain,5
92,1188,49.66,river,3
92,906,59.72,river,1
92,1323,24.81,park,1
93,1407,52.38,mountain,2
93,1472,27.43,park,5
93,1033,59.75,river,2
93,1386,57.31,mountain,2
93,1035,34.16,river,2
93,1054,34.77,river,2
93,1253,26.7,mountain,1
93,1065,32.0,river,2
93,1053,29.02,river,3
93,970,25.91,mountain,1
94,716,55.98,park,3
94,163,33.91,river,1
94,329,36.38,river,3
94,304,43.54,river,1
94,680,60.0,park,3
94,320,23.09,river,3
94,425,27.58,park,3
94,418,37.8,park,1
94,153,53.77,river,2
94,312,42.08,river,1
95,310,57.94,river,5
95,188,25.33,river,5
95,329,54.22,river,5
95,173,30.8,river,5
95,680,36.13,park,2
95,175,57.77,river,5
95,388,23.07,park,1
95,312,48.53,river,5
95,689,41.09,park,2
95,324,26.52,river,5
96,1445,42.69,park,5
96,1068,26.48,river,5
96,919,55.78,river,5
96,1056,28.03,river,5
96,1184,26.73,river,5
96,908,52.22,river,5
96,1409,55.58,mountain,3
96,977,53.9,mountain,2
96,1387,24.55,mountain,1
96,1423,30.78,mountain,2
97,400,43.31,park,2
97,171,20.47,river,2
97,330,27.31,river,3
97,536,59.5,park,3
97,326,52.54,river,3
97,168,22.52,river,1
97,568,26.72,park,3
97,181,39.69,river,2
97,178,54.18,river,1
97,174,34.07,river,3
98,1371,42.06,river,5
98,1214,27.76,river,5
98,888,24.95,river,5
98,1057,22.49,river,5
98,895,20.6,river,5
98,1388,30.46,mountain,1
98,1333,47.65,river,5
98,923,48.77,river,5
98,1211,53.04,river,5
98,1034,42.44,river,5
99,1061,57.49,river,1
99,1353,51.97,river,1
99,1051,54.35,river,2
99,1190,47.63,river,1
99,1188,25.45,river,1
99,884,38.04,river,3
99,1182,54.91,river,3
99,1383,53.96,mountain,5
99,1099,44.09,mountain,5
99,1368,28.86,river,2
100,333,41.23,river,3
100,180,41.08,river,2
100,153,28.22,river,2
100,313,21.78,river,1
100,174,31.96,river,2
100,193,36.56,river,1
100,334,53.26,river,1
100,170,32.73,river,2
100,711,33.85,park,5
100,724,35.47,park,5
101,1156,45.66,park,5
101,971,51.13,mountain,5
101,1296,56.36,park,5
101,454,49.71,river,2
101,871,20.86,park,5
101,450,29.77,river,3
101,1079,49.46,mountain,5
101,486,26.61,mountain,5
101,439,44.13,river,1
101,990,32.72,park,5
102,716,51.36,park,5
102,335,39.22,river,5
102,719,25.82,park,5
102,394,54.08,park,5
102,717,37.14,park,5
102,689,54.68,park,5
102,585,56.65,park,5
102,318,49.39,river,5
102,323,29.56,river,5
102,424,51.11,park,5
103,893,49.35,river,2
103,1072,40.0,river,1
103,1057,38.63,river,3
103,1218,56.73,river,1
103,910,47.34,river,2
103,1207,20.74,river,2
103,887,59.55,river,2
103,1219,54.06,river,3
103,915,53.56,river,3
103,1227,59.99,river,3
104,333,26.68,river,3
104,186,59.62,river,1
104,697,50.96,park,3
104,324,39.43,river,2
104,689,51.2,park,3
104,571,23.79,park,3
104,155,57.49,river,2
104,421,59.13,park,3
104,402,55.53,park,2
104,693,42.24,park,3
105,197,34.27,river,5
105,156,28.37,river,5
105,418,27.84,park,2
105,153,58.8,river,5
105,700,55.27,park,1
105,682,59.9,park,3
105,313,33.13,river,5
105,585,54.38,park,1
105,720,55.85,park,3
105,331,44.62,river,5
106,404,29.48,park,1
106,716,47.07,park,2
106,682,40.25,park,3
106,680,37.38,park,3
106,584,45.04,park,3
106,197,35.24,river,5
106,690,44.99,park,3
106,153,58.65,river,5
106,199,40.23,river,5
106,189,21.53,river,5
107,1464,46.69,park,3
107,1270,53.0,mountain,3
107,1083,48.75,mountain,1
107,1404,32.82,mountain,2
107,1344,30.59,river,5
107,1203,37.93,river,5
107,933,52.37,mountain,2
107,1192,36.49,river,5
107,1041,47.9,river,5
107,1409,44.96,mountain,1
108,177,42.68,river,5
108,325,22.0,river,5
108,193,24.13,river,5
108,408,55.82,park,3
108,324,39.07,river,5
108,414,58.45,park,2
108,540,28.21,park,2
108,421,35.82,park,2
108,330,54.5,river,5
108,584,26.96,park,2
109,1231,48.71,mountain,5
109,611,29.77,river,3
109,1173,21.83,park,5
109,862,27.71,park,5
109,870,28.91,park,5
109,1284,23.72,park,5
109,770,53.68,river,2
